# File format: "UltraCoarse ExtremelyCoarse VeryCoarse Medium Fine VeryFine ExtremelyFine VMD".
# VMD is optional.
# File produced on 2022-05-04 @ 11:09:34 by GenerateDummySprayDataset.py.

30 23 24 21 20 37 24 27
25 15 19 12 23 34 25 27
17 7 17 21 16 36 17 25
7 6 26 14 23 30 14 22
9 12 32 19 30 24 9 23
10 15 34 21 40 23 13 21
6 8 25 28 48 21 5 21
13 5 22 26 51 11 12 18
15 7 12 29 60 9 2 24
23 10 18 33 69 12 11 15
18 13 11 38 69 19 10 10
26 22 13 38 70 10 9 4
16 17 19 37 65 15 4 5
12 11 21 41 62 12 2 7
9 2 12 39 54 12 12 17
3 6 3 31 59 14 16 16
10 13 13 28 61 17 22 26
9 17 3 18 67 24 26 26
4 14 3 18 60 19 33 27
13 24 2 18 57 25 43 29
3 27 8 12 67 18 41 22
8 36 15 12 73 16 45 13
13 40 8 2 73 11 39 8
17 47 15 8 63 3 45 3
12 57 24 17 72 3 44 4
2 56 22 12 72 2 51 5
5 64 18 20 75 2 51 1
6 67 14 15 69 1 61 6
8 59 14 7 62 3 69 8
3 66 9 2 59 8 61 12
